[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: select A.*,B.TNAME from ERP_STATUS A left join ERP_STATUS_TYPE B on A.TYPE=B.ID where A.TYPE = 4   order by A.QUEUE ASC  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: select  STATUS,COLOR,TYPE from ERP_STATUS   where  TYPE = 4   order by  QUEUE ASC  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined offset: 5 Form.php 第 1907 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: select A.*,B.TNAME from ERP_STATUS A left join ERP_STATUS_TYPE B on A.TYPE=B.ID where A.TYPE = 5   order by A.QUEUE ASC  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: select  STATUS,COLOR,TYPE from ERP_STATUS   where  TYPE = 5   order by  QUEUE ASC  [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_group WHERE LOAN_GROUPID='2' and LOAN_GROUPSTATUS=1 and LOAN_GROUPDEL=0) thinkphp )  WHERE (numrow>0 AND numrow<=1) [ RunTime:0.000000s ]
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: parentchooseid Form.php 第 555 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 660 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 662 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 664 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 666 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 669 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 671 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 673 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 675 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: faction Form.php 第 677 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: showForm Form.php 第 681 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: sort1 Form.php 第 1182 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: sort1_t Form.php 第 1183 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: sort2 Form.php 第 1184 行.
[ 2017-03-30T13:18:03+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Member/RegMember/TAB_NUMBER/22 | NOTIC: [8] Undefined index: sort2_t Form.php 第 1185 行.
