[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | SQL: SELECT erp_project.id,erp_project.tlf_project_id,erp_project.projectname,erp_case.scaletype from erp_project left join erp_case on erp_case.project_id = erp_project.id where erp_project.id = 54 and erp_case.scaletype = 1 [ RunTime:0.000000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ view_template ] --START--
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ view_parse ] --START--
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | NOTIC: [8] Undefined index: id 5a6467a4bb64cbaaefdfa23ba0b45804.php 第 42 行.
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | NOTIC: [8] Undefined index: id 5a6467a4bb64cbaaefdfa23ba0b45804.php 第 42 行.
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | NOTIC: [8] Undefined variable: v 5a6467a4bb64cbaaefdfa23ba0b45804.php 第 337 行.
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | NOTIC: [8] Undefined variable: v 5a6467a4bb64cbaaefdfa23ba0b45804.php 第 337 行.
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run ParseTemplate Behavior [ RunTime:0.018001s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018001s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ view_filter ] --START--
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ view_end ] --START--
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-11-30T08:45:59+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ route_check ] --START--
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ app_begin ] --START--
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_CITY') b where table_name='ERP_CITY' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_city WHERE ISVALID=-1) thinkphp )  [ RunTime:0.000000s ]
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_GROUP') b where table_name='ERP_GROUP' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2015-11-30T08:46:20+08:00 ] /touch/index.php?s=/Member/RegMember | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_group WHERE LOAN_GROUPID='2' and LOAN_GROUPSTATUS=1 and LOAN_GROUPDEL=0) thinkphp )  WHERE (numrow>0 AND numrow<=1) [ RunTime:0.000000s ]
